trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
56.TA.27-11-j17-1.3.R,06:28:00,06:30:00,8509991,1,,0,0
56.TA.27-11-j17-1.3.R,06:37:00,06:38:00,8509612,2,,0,0
56.TA.27-11-j17-1.3.R,06:43:00,06:43:00,8509613,3,,0,0
56.TA.27-11-j17-1.3.R,06:47:00,06:47:00,8509619,4,,0,0
56.TA.27-11-j17-1.3.R,06:52:00,06:52:00,8509625,5,,0,0
57.TA.27-11-j17-1.3.R,06:45:00,06:45:00,8509613,1,,0,0
57.TA.27-11-j17-1.3.R,06:49:00,06:50:00,8509612,2,,0,0
57.TA.27-11-j17-1.3.R,06:58:00,07:00:00,8509991,3,,0,0
85.TA.27-13-j17-1.4.R,06:43:00,06:45:00,8509991,1,,0,0
85.TA.27-13-j17-1.4.R,06:52:00,06:52:00,8509621,2,,0,0
85.TA.27-13-j17-1.4.R,06:57:00,06:58:00,8509613,3,,0,0
85.TA.27-13-j17-1.4.R,07:02:00,07:02:00,8509619,4,,0,0
85.TA.27-13-j17-1.4.R,07:06:00,07:06:00,8509625,5,,0,0
63.TA.27-14-j17-1.7.R,06:55:00,06:58:00,8509991,1,,0,0
63.TA.27-14-j17-1.7.R,07:07:00,07:07:00,8509621,2,,0,0
63.TA.27-14-j17-1.7.R,07:10:00,07:10:00,8509625,3,,0,0
11.TA.27-33-j17-1.2.R,07:19:00,07:19:00,8509619,1,,0,0
11.TA.27-33-j17-1.2.R,07:24:00,07:24:00,8509626,2,,0,0
10.TA.27-35-j17-1.2.R,06:36:00,06:39:00,8509612,1,,0,0
10.TA.27-35-j17-1.2.R,06:41:00,06:41:00,8574367,2,,0,0
10.TA.27-35-j17-1.2.R,06:47:00,06:47:00,8509626,3,,0,0
